title,domestic_box_office,opening_box_office,release_date
Top Gun: Maverick,718732821,126707459,2022-05-27
Avatar: The Way of Water,684075767,134100226,2022-12-16
Black Panther: Wakanda Forever,453829060,181339761,2022-11-11
Doctor Strange in the Multiverse of Madness,411331607,187420998,2022-05-06
Jurassic World Dominion,376851080,145075625,2022-06-10
Minions: The Rise of Gru,370270765,107010140,2022-07-01
The Batman,369345583,134008624,2022-03-04
Thor: Love and Thunder,343256830,144165107,2022-07-08
Sonic the Hedgehog 2,190872904,72105176,2022-04-08
Puss in Boots: The Last Wish,186090535,12429515,2022-12-21
Black Adam,168152111,67004323,2022-10-21
Elvis,151040048,31211579,2022-06-24
Uncharted,148648820,44010155,2022-02-18
Nope,123277080,44366910,2022-07-22
Lightyear,118307188,50577961,2022-06-17
Smile,105935048,22609925,2022-09-30
The Lost City,105344029,30453269,2022-03-25
Bullet Train,103368602,30030156,2022-08-05
The Bad Guys,97459240,23950245,2022-04-22
Fantastic Beasts: The Secrets of Dumbledore,95850844,42151256,2022-04-15
DC League of Super-Pets,93657117,23003441,2022-07-29
Where the Crawdads Sing,90230760,17253227,2022-07-15
The Black Phone,90123230,23633220,2022-06-24
Scream,81641405,30018805,2022-01-14
Everything Everywhere All at Once,77191785,501305,2022-07-29
Morbius,73865530,39005895,2022-04-01
Ticket to Paradise,68275985,16509095,2022-10-21
The Woman King,67328130,19051442,2022-09-16
Halloween Ends,64079860,40050355,2022-10-14
Dog,61778069,14883928,2022-02-18
Jackass Forever,57743451,23154388,2022-02-04
Violent Night,50057405,13450240,2022-12-02
Lyle Lyle Crocodile,46888441,11401182,2022-10-07
Death on the Nile,45630104,12891123,2022-02-11
Downton Abbey: A New Era,44141550,16000495,2022-05-20
Barbarian,40842944,10543948,2022-09-09
Strange World,37968963,12151384,2022-11-23
The Northman,34233110,12290800,2022-04-22
The Bob's Burgers Movie,31933830,12416819,2022-05-27
Beast,31846530,11575855,2022-08-19
The Invitation,25100080,6805468,2022-08-26
Avatar 2022 Re-Release,24714024,10529576,2022-09-23
Whitney Houston: I Wanna Dance with Somebody,23708080,4700450,2022-12-23
Ambulance,22781115,8699630,2022-04-08
Marry Me,22438180,7949980,2022-02-11
Father Stu,20884796,5402642,2022-04-13
Devotion,20511938,5902803,2022-11-23
The Unbearable Weight of Massive Talent,20300157,7131703,2022-04-22
Prey for the Devil,19802293,7185126,2022-10-28
Moonfall,19060660,9868997,2022-02-04
Paws of Fury: The Legend of Hank,17811382,6321423,2022-07-15
The Fabelmans,17348945,161579,2022-11-23
Babylon,15351455,3603368,2022-12-23
Amsterdam,14947969,6444896,2022-10-07
The 355,14570455,4621765,2022-01-07
Easter Sunday,13013690,5447130,2022-08-05
X,11765309,4275126,2022-03-18
Bros,11628165,4854125,2022-09-30
Bodies Bodies Bodies,11446602,226653,2022-08-05
Firestarter,9739250,3827715,2022-05-13
Blacklight,9591094,3502475,2022-02-11
Pearl,9423445,3128427,2022-09-16
Spider-Man: No Way Home 2022 Re-Release,9321593,5403230,2022-09-02
Redeeming Love,9214020,3530180,2022-01-21
Three Thousand Years of Longing,8286741,2919717,2022-08-26
Brahmastra Part One: Shiva,7839108,4543659,2022-09-09
Bones and All,7834907,2258562,2022-11-23
Men,7587853,3293030,2022-05-20
Memory,7329043,3113298,2022-04-29
Fall,7240521,2512145,2022-08-12
TÃ¡r,6773650,158620,2022-10-28
Marcel the Shell with Shoes On,6333702,159403,2022-07-15
She Said,5825995,2217010,2022-11-18
The Cursed,4588389,1776142,2022-02-18
Vengeance,4330720,1755325,2022-07-29
Belle,4018313,1565658,2022-02-03
Breaking,2806359,985921,2022-08-26
Honk for Jesus. Save Your Soul.,2561270,1422615,2022-09-02
Mack & Rita,2540965,1038291,2022-08-12
Studio 666,2513963,1540543,2022-02-25
The Good House,2219760,801568,2022-09-30
Umma,2121025,915290,2022-03-18
The Wolf and the Lion,2072173,641845,2022-02-04
Watcher,1961207,826775,2022-06-03
Mr. Malcolm's List,1885718,810742,2022-07-01
Armageddon Time,1872625,70275,2022-11-04
The King's Daughter,1758963,723802,2022-01-21
Running the Bases,1511980,538749,2022-09-16
Medieval,1374325,821991,2022-09-09
God's Country,493679,279928,2022-09-16
The Railway Children Return,466391,245904,2022-09-23
Father Stu: Reborn 2022 Re-Release (Father Stu: Reborn),205881,135167,2022-12-09
